Effect,num Df,den Df,MSE,F,ges,P
`learners/non-learners`,1.0,98.0,7707.237698051908,0.07012465062847836,0.0006808579557656692,0.7917115426287713
decile,4.9373588516434825,483.8611674610613,66.72515803671014,1.3473574632637748,0.000559251342485418,0.24356988303059438
`learners/non-learners`:decile,4.9373588516434825,483.8611674610613,66.72515803671014,1.0250328877986392,0.00042552013008862773,0.4016898979049177
bin,1.5359857623444209,150.52660470975326,6.805269143357432,45.31108445558955,0.0005967062341849957,1.4958611882390032e-13
`learners/non-learners`:bin,1.5359857623444209,150.52660470975326,6.805269143357432,0.12701382719978788,1.6736537613267864e-06,0.8264288612160116
decile:bin,12.319248375491707,1207.2863407981874,3.8462603886861673,0.9061634830122102,5.412386354346524e-05,0.5420428491009786
`learners/non-learners`:decile:bin,12.319248375491707,1207.2863407981874,3.8462603886861673,0.8004048506468304,4.780735196297986e-05,0.6536642185899896
