Effect,num Df,den Df,MSE,F,ges,P
`learners/non-learners`,1.0,98.0,15073.819106160796,0.12739783835719387,0.001226351757468362,0.7219128656463392
decile,4.912013473351209,481.37732038841847,125.71055991945103,0.9877068920939609,0.00038980974614004544,0.42382050752905376
`learners/non-learners`:decile,4.912013473351209,481.37732038841847,125.71055991945103,1.6370817805433608,0.0006459273829857193,0.1498610443596707
bin,2.009899484029659,196.97014943490657,32.681213973731,76.88475288963528,0.0032186612010773044,1.729123366560492e-25
`learners/non-learners`:bin,2.009899484029659,196.97014943490657,32.681213973731,1.108179736573157,4.6539866746019476e-05,0.33242325342863843
decile:bin,99.0,9702.0,2.0425221601727324,1.2931442787473317,0.0001671625450564962,0.027189445376282574
`learners/non-learners`:decile:bin,99.0,9702.0,2.0425221601727324,1.328716094556105,0.00017176006292667637,0.016521827376600347
