Effect,num Df,den Df,MSE,F,ges,P
`learners/non-learners`,1.0,98.0,7714.915293176083,0.07665644671005156,0.0007450231038367117,0.7824638222611959
decile,5.136038903034681,503.3318124973987,58.83228628405436,2.214561493484592,0.0008429059613884373,0.04996562115930215
`learners/non-learners`:decile,5.136038903034681,503.3318124973987,58.83228628405436,1.4509050665339214,0.0005524037651134394,0.202943929858756
bin,1.707418403922005,167.3270035843565,14.066790306615864,106.54871800411962,0.0032158656117196203,9.502903833627866e-28
`learners/non-learners`:bin,1.707418403922005,167.3270035843565,14.066790306615864,0.6662765296416616,2.0174106058162714e-05,0.49217260943913554
decile:bin,10.572178879257931,1036.0735301672773,4.998854096313146,1.476956415925133,9.839510269590513e-05,0.1376995129883329
`learners/non-learners`:decile:bin,10.572178879257931,1036.0735301672773,4.998854096313146,1.0236675757644198,6.819897793039778e-05,0.42198952861597855
