column_0,column_1,column_2,column_3,column_4,participant,trial,period
-5.839982,14.427748,-77.606804,-9.2198105,10.33106,1,0,baseline
-7.3107224,-13.934357,13.13539,8.693798,0.61070246,1,0,feedback
-3.1381533,-25.439068,-18.951483,-5.6889334,4.186371,1,0,planning
14.764893,22.297611,-4.9191804,-5.813657,11.082566,1,1,baseline
-7.98862,-8.10803,-0.42574158,9.224842,3.5649266,1,1,feedback
5.767398,-19.564148,3.9867604,-2.0665808,8.522827,1,1,planning
6.623092,12.089353,-4.069829,5.9506817,8.672365,1,2,baseline
-8.205887,-0.35983628,3.0836189,4.757768,5.4230523,1,2,feedback
4.011407,-8.7006035,-0.8099634,-7.5667887,2.8797617,1,2,planning
9.406777,9.489606,-5.6938353,-0.665159,4.5146194,1,3,baseline
-9.280996,2.4514484,2.277937,4.1521273,4.4529066,1,3,feedback
3.991589,-1.4671247,0.9202448,-6.5660143,1.8416011,1,3,planning
9.540364,11.767107,-7.5281067,1.110466,1.8344275,1,4,baseline
-12.274425,6.5321193,7.3556814,3.8101144,-2.1470816,1,4,feedback
4.9674764,-6.331721,-4.1658583,-8.023078,0.7883185,1,4,planning
-0.84072286,2.7608209,-0.06020786,-7.3959436,3.6941948,1,5,baseline
-13.327649,-9.9371605,1.3353071,8.7703495,2.2918477,1,5,feedback
-3.3187022,-14.19917,-7.0129104,-1.3991318,5.0910926,1,5,planning
12.212287,16.437796,1.3243421,3.917524,11.778586,1,6,baseline
-8.84791,-7.3726506,2.1299458,5.679384,-1.5873011,1,6,feedback
3.7901273,-10.573408,-4.200377,-11.860389,6.1423464,1,6,planning
4.448075,12.096217,-8.660101,-1.9529009,7.823488,1,7,baseline
-7.815485,0.8197026,2.0008082,5.0791755,2.1980712,1,7,feedback
2.9313462,-5.842621,2.203502,-6.488488,4.0594378,1,7,planning
4.332275,11.387016,1.2680151,-0.37551308,4.309812,1,8,baseline
-13.936003,-4.5558095,5.5618863,3.5274014,2.8446326,1,8,feedback
2.8889322,-9.3324175,-0.06188734,-9.397073,1.5608394,1,8,planning
9.834449,11.039575,-7.7747,-1.3676348,4.8722296,1,9,baseline
-16.222862,-1.5595204,8.2442665,4.820711,2.6249275,1,9,feedback
6.4476776,-8.402908,-7.434884,-13.900621,1.3869052,1,9,planning
13.270939,12.157989,-5.0645967,4.890434,9.043645,1,10,baseline
-13.145656,-25.595932,7.7584186,5.1376896,-3.609501,1,10,feedback
5.008978,-9.4478245,-18.935745,-23.07187,2.619432,1,10,planning
-0.051237047,21.900928,0.06992817,-13.233499,8.107706,1,11,baseline
-0.25627393,-15.300242,3.226619,7.1284003,5.916477,1,11,feedback
6.7926874,-24.456558,-3.5255995,-5.7049704,3.9131513,1,11,planning
2.101959,41.215782,-3.5990453,-0.6304302,8.075464,1,12,baseline
-18.518314,58.09523,3.8742425,13.084935,23.705967,1,12,feedback
5.6801147,-22.680626,-10.713881,-5.772255,5.9175625,1,12,planning
12.642371,20.339003,-0.6809342,1.6895437,11.658838,1,13,baseline
-5.6405683,-1.8181102,5.131137,3.0397124,2.7797444,1,13,feedback
1.4527956,-9.099989,-14.082126,-6.4575934,4.688336,1,13,planning
5.679474,6.7157264,-79.21482,9.50372,6.328323,1,14,baseline
-8.259029,-5.3469925,7.4380965,5.8177414,1.8106486,1,14,feedback
3.860133,-10.376428,-0.021838605,-8.443554,1.8547647,1,14,planning
4.0049186,14.671115,-5.620698,-2.3102627,6.332153,1,15,baseline
-8.614962,2.9777164,1.229167,6.3066187,2.6940022,1,15,feedback
4.5889196,-16.46587,-9.9112835,-5.7887225,3.1894531,1,15,planning
9.290774,9.536846,-1.4701523,4.28176,6.4238195,1,16,baseline
-8.651461,2.2147994,3.7964425,5.301618,1.5087274,1,16,feedback
2.7058845,-4.3081956,-7.387613,-4.225407,1.8149567,1,16,planning
11.387822,3.9464278,-6.353916,-1.2946925,5.075518,1,17,baseline
-10.433119,14.288312,7.2382627,5.5545263,-0.9485962,1,17,feedback
1.5579778,-9.187257,-4.2985168,0.97107506,2.843123,1,17,planning
4.868944,5.732757,-6.3576365,-4.3009305,5.93879,1,18,baseline
-5.912639,-22.428026,7.225749,7.626358,1.0414914,1,18,feedback
1.4194026,-17.016964,-1.9096899,-8.684552,4.1736474,1,18,planning
2.846325,25.716553,-2.0726871,-10.188653,11.43669,1,19,baseline
-13.463491,19.63934,7.9571295,9.970389,4.5100226,1,19,feedback
-1.9115728,-27.686611,-14.110395,0.23464063,7.7050047,1,19,planning
3.5050573,17.397089,-8.579879,-5.153838,8.001033,1,20,baseline
-0.044751614,-24.878136,4.95059,5.3931603,4.0605483,1,20,feedback
4.4285417,-16.935286,0.63773596,-8.452098,2.7228537,1,20,planning
6.58306,32.719044,-7.9832263,8.919343,6.6664824,1,21,baseline
-8.787006,1.4763474,11.010149,5.225603,2.7170246,1,21,feedback
-0.4636563,-3.6274877,-24.269459,-9.275519,4.581875,1,21,planning
7.5196204,13.389869,-6.0281262,-1.1107364,4.7616043,1,22,baseline
-8.238829,-3.3014657,9.695954,6.615814,3.4738765,1,22,feedback
2.9767165,-10.461171,2.4798112,-0.72952914,5.022672,1,22,planning
-4.083577,26.256348,-0.53303957,-4.615633,3.4303353,1,23,baseline
4.0297894,-18.146456,3.9824421,5.452638,2.7265637,1,23,feedback
-1.0667154,-25.15885,-10.943586,-4.168702,0.7431643,1,23,planning
7.2066813,22.384523,-8.200027,4.339528,4.9629936,1,24,baseline
-4.417708,-0.6302071,8.102979,5.293372,0.5081822,1,24,feedback
7.861226,-13.468073,-1.4913771,1.0676025,1.6433231,1,24,planning
-6.4246583,11.054548,-3.944046,-3.9072104,4.208929,1,25,baseline
-5.2033687,3.6688344,5.8057413,4.5966554,1.572494,1,25,feedback
-3.9744847,-9.010837,2.3545942,-1.3855994,2.3501635,1,25,planning
-0.18337959,12.241573,1.0155313,-6.499749,5.6333113,1,26,baseline
-4.932324,1.1401997,5.1587853,5.7430634,4.424077,1,26,feedback
-0.7107275,-9.630526,-1.3191242,-7.8632736,3.1391146,1,26,planning
3.0102684,8.123042,-3.3843815,-3.6229305,5.7353053,1,27,baseline
-1.5333774,3.2731087,7.7771854,6.935527,2.7412744,1,27,feedback
0.7682452,-7.4530926,-4.5069323,-2.5196347,2.8535116,1,27,planning
-3.7382617,11.468176,-4.720615,1.2439651,7.2379637,1,28,baseline
-6.170516,-1.3951716,4.915905,6.035639,2.409532,1,28,feedback
-2.5588112,-4.592473,-12.114658,-8.391574,2.9354722,1,28,planning
-11.332371,22.419868,-4.6974964,-4.3927174,9.857987,1,29,baseline
3.5116544,-23.523252,3.4652767,5.931516,3.1160557,1,29,feedback
-2.1346495,-24.196323,-15.175312,-4.4528694,3.9136486,1,29,planning
5.357443,23.148008,-1.8830276,10.347885,6.422795,1,30,baseline
-18.095533,-25.472252,7.714928,7.0705023,2.0973186,1,30,feedback
-1.9979388,-3.9652953,-3.3194702,-8.522969,4.0861063,1,30,planning
6.8131914,33.355247,-4.7644496,1.9783602,10.725558,1,31,baseline
-11.711341,-8.691595,4.459809,9.477956,-2.147212,1,31,feedback
7.466588,-19.052206,-0.3365908,-9.179753,6.7420826,1,31,planning
8.831723,13.2498255,-7.675968,-3.5722673,11.892177,1,32,baseline
-11.765423,-5.1303177,5.709391,7.258852,0.43591824,1,32,feedback
7.329384,-5.668025,5.211618,-2.4196248,6.7402053,1,32,planning
3.0863533,11.415855,2.6584244,-1.5581636,8.635397,1,33,baseline
-0.8686141,-2.9927993,8.17767,6.0025187,5.776895,1,33,feedback
1.4188566,-5.3896503,-1.0251882,-8.292237,3.994039,1,33,planning
4.4672976,16.125734,-2.3143003,-0.16463757,9.26322,1,34,baseline
-6.7282147,1.0625451,2.2088215,6.0455394,2.471637,1,34,feedback
2.001731,-8.819502,-2.9528532,-9.898668,3.4612331,1,34,planning
5.862275,10.406568,-0.41110212,-0.06366563,7.657953,1,35,baseline
-9.754122,-18.975962,4.5089846,5.3157654,4.041651,1,35,feedback
0.19168529,-10.334841,-0.41225794,-8.360971,4.2104464,1,35,planning
5.4477887,18.429956,-14.113115,10.691643,8.375849,1,36,baseline
-12.082628,-15.221095,0.6537,5.9815574,6.8414774,1,36,feedback
5.5305386,0.2926859,4.9108896,-6.4128213,4.0915256,1,36,planning
6.4937673,38.095093,-7.7613544,-1.3638897,6.5264792,1,37,baseline
-10.934229,-30.109585,5.331744,2.9986444,1.295883,1,37,feedback
4.6798472,-27.10126,1.262803,-4.565284,3.2097979,1,37,planning
-5.4150457,11.68068,-2.7695124,1.4073303,8.905306,1,38,baseline
-7.418237,2.9193823,3.4042382,5.8890514,2.5707064,1,38,feedback
0.5187301,-3.8936238,-10.016305,-3.6138327,3.692922,1,38,planning
7.5868163,15.084871,1.2740009,0.7792578,5.88789,1,39,baseline
-9.559642,-10.201391,7.7291846,9.122175,2.4676788,1,39,feedback
1.7460291,-11.86211,-1.9214348,-1.1557171,6.064258,1,39,planning
5.086805,31.754068,3.7907622,-5.17925,9.963039,1,40,baseline
-9.799142,0.53073883,7.1338563,5.6555004,2.6657014,1,40,feedback
5.0299425,-20.902678,2.5461826,-4.73181,4.34511,1,40,planning
10.008186,13.306124,-20.080423,0.8230343,6.031996,1,41,baseline
-9.195566,3.909516,8.19863,7.051761,5.1622386,1,41,feedback
3.0500367,-9.532728,2.1780667,-1.6908023,4.171086,1,41,planning
1.3504145,10.093434,-67.06662,-2.7686949,6.4699287,1,42,baseline
2.3133497,-5.6715574,6.1365876,10.166881,5.07926,1,42,feedback
2.3312752,-19.333822,-8.708845,-6.710593,4.4938803,1,42,planning
2.019171,38.90611,-7.3851037,-2.7882595,10.200669,1,43,baseline
-0.7790594,-21.582544,9.001285,5.4143944,2.0029345,1,43,feedback
-7.1762586,-6.0256515,-25.973953,-9.24542,5.4600987,1,43,planning
7.701004,37.68271,-6.510323,-0.7456293,4.7522144,1,44,baseline
-10.4309025,-8.648437,4.057548,8.617309,-0.4876767,1,44,feedback
1.7131714,-27.575686,6.1382756,-5.4998755,3.7005596,1,44,planning
-1.2090213,34.748657,-5.292655,-6.7659254,12.149022,1,45,baseline
-7.741584,-8.291305,1.5072598,9.135188,2.8102548,1,45,feedback
-5.961786,-25.675274,-2.9382,-5.763612,7.6619363,1,45,planning
0.7727151,15.578033,-0.9344503,2.6574378,11.323333,1,46,baseline
-0.5432774,-0.2098034,-0.7137357,7.087019,-0.53214717,1,46,feedback
0.5487221,-15.90043,-8.606325,-12.86541,4.0359726,1,46,planning
2.9168403,6.191297,-9.759723,2.2968776,5.33167,1,47,baseline
-4.9833174,4.0512576,3.9207683,4.982601,4.231836,1,47,feedback
0.7534093,-6.843598,-18.61,-11.14717,0.040749192,1,47,planning
0.8192998,9.553129,-8.959051,1.9159551,5.5954294,1,48,baseline
-0.5786431,-9.767039,1.5347718,7.081758,1.1636395,1,48,feedback
-3.4822595,-1.2692814,-7.9678655,-7.358277,3.4912682,1,48,planning
-7.944465,17.965279,1.4882414,-0.2154975,8.977621,1,49,baseline
-8.962276,2.264214,-4.2841787,3.9871004,0.83435214,1,49,feedback
-2.9687338,-9.473556,-16.353605,-11.538377,2.634728,1,49,planning
-5.6937966,7.5198812,-8.205022,2.1139498,8.639445,1,50,baseline
-1.677484,-16.427067,4.536417,6.636728,-1.1903018,1,50,feedback
-13.169195,-19.203648,0.75839335,-8.656302,5.2854395,1,50,planning
-19.752628,18.578287,-6.0166507,4.517227,10.085749,1,51,baseline
