Effect,num Df,den Df,MSE,F,ges,P
`learners/non-learners`,1.0,94.0,1.9979639355089467,4.76645357261618,0.009377946635048658,0.03150963427215579
decile,3.939725874876756,370.3342322384151,1.378425239306107,44.490976654131195,0.19366582161398727,3.722941514797219e-30
`learners/non-learners`:decile,3.939725874876756,370.3342322384151,1.378425239306107,1.5313222662372872,0.008198929360893503,0.1932342733812063
bin,2.3751850608155123,223.26739571665814,0.5663115551083452,45.00011526381726,0.056755448595751684,2.3148142661803103e-19
`learners/non-learners`:bin,2.3751850608155123,223.26739571665814,0.5663115551083452,1.4600126647764886,0.0019484050448201355,0.23207063927288216
decile:bin,21.13987795469362,1987.1485277412003,0.09120621824453558,1.8448701863042687,0.00352351839533579,0.010897185677948408
`learners/non-learners`:decile:bin,21.13987795469362,1987.1485277412003,0.09120621824453558,1.3490086413079192,0.002578914559598325,0.13219877111734418
