Effect,num Df,den Df,MSE,F,ges,P
`learners/non-learners`,1.0,94.0,1.6041866033128753,2.3179500118961345,0.002529747807734983,0.13124558196936362
decile,3.9515381513059187,371.44458622275636,1.9138956932941549,22.594769865311317,0.10438369862384567,1.4450702016795586e-16
`learners/non-learners`:decile,3.9515381513059187,371.44458622275636,1.9138956932941549,1.4541688229537388,0.007445127236318542,0.21617956673508434
bin,1.9736061973932624,185.51898255496664,1.9097098042839675,451.40890475250313,0.5371276808687284,1.3838269596345058e-71
`learners/non-learners`:bin,1.9736061973932624,185.51898255496664,1.9097098042839675,0.8905386281909947,0.002284051433659815,0.41099675206959185
decile:bin,18.91513760959861,1778.0229353022692,0.14070340827796762,1.014043637873931,0.001837343722213161,0.4405540212902277
`learners/non-learners`:decile:bin,18.91513760959861,1778.0229353022692,0.14070340827796762,1.2817919988238948,0.002321350300758317,0.18514537054337668
