Effect,num Df,den Df,MSE,F,ges,P
`learners/non-learners`,1.0,89.0,3.5139234170207927,0.10820248380941357,0.00015827608442312626,0.7429727228648149
decile,3.9340046008209186,350.12640947306176,2.958048951382648,30.445957312317397,0.1285486501136433,1.739655969034042e-21
`learners/non-learners`:decile,3.9340046008209186,350.12640947306176,2.958048951382648,0.8361178090838439,0.004034655333447076,0.5012973606594134
bin,2.4468573809794423,217.77030690717035,2.2514545747783394,237.5048412280055,0.3526468963461895,9.98505779355947e-62
`learners/non-learners`:bin,2.4468573809794423,217.77030690717035,2.2514545747783394,1.9617013631691713,0.004479293873806579,0.13279704275446252
decile:bin,99.0,8811.0,0.06391074655772759,1.3107100260524174,0.003440909743210214,0.02140456789339891
`learners/non-learners`:decile:bin,99.0,8811.0,0.06391074655772759,1.2401805867336444,0.0032563569743151435,0.054096885290353176
