Effect,num Df,den Df,MSE,F,ges,P
`learners/non-learners`,1.0,98.0,0.926307349920464,0.22276775846403407,9.356496718337392e-05,0.6379883114662301
decile,4.839367175567972,474.2579832056612,3.2858367931834565,0.9297607621229382,0.006659633396042959,0.45912015707879716
`learners/non-learners`:decile,4.839367175567972,474.2579832056612,3.2858367931834565,2.0753952079283184,0.014744521802012857,0.06951916959727096
bin,2.115392552468963,207.30847014195837,0.6563528407880856,90.75652377818855,0.054052959489277824,4.015790866065116e-30
`learners/non-learners`:bin,2.115392552468963,207.30847014195837,0.6563528407880856,1.3087899443934554,0.0008233548071397927,0.2728761076943989
decile:bin,99.0,9702.0,0.04329501667135378,1.42916078251751,0.0027701031904692063,0.0034769519621862294
`learners/non-learners`:decile:bin,99.0,9702.0,0.04329501667135378,1.241642554366172,0.002407516785751484,0.05302374707239279
