Effect,num Df,den Df,MSE,F,ges,P
`learners/non-learners`,1.0,94.0,2.5422562956812125,0.012957811980414695,4.7017617704155825e-05,0.9096134411446358
decile,7.546931129949861,709.411526215287,0.14208570911779198,1.7113122084429548,0.0026124261517163593,0.09706311283108877
`learners/non-learners`:decile,7.546931129949861,709.411526215287,0.14208570911779198,1.3764377117995075,0.002102293793458053,0.20722403793665214
bin,1.5050647774794812,141.47608908307123,1.7295247537189442,327.5311327418855,0.5489251960069608,2.4053833728263166e-47
`learners/non-learners`:bin,1.5050647774794812,141.47608908307123,1.7295247537189442,0.25028738779804227,0.0009290675650804528,0.7146190578132716
decile:bin,16.373367033696947,1539.096501167513,0.07546245433625508,0.6942447470340604,0.0012228696039156858,0.8056027693912384
`learners/non-learners`:decile:bin,16.373367033696947,1539.096501167513,0.07546245433625508,1.1338357683135747,0.00199563701879045,0.3160959764262295
