Effect,num Df,den Df,MSE,F,ges,P
`learners/non-learners`,1.0,94.0,2.762000515273419,0.5907978323101019,0.0018249721955008896,0.44403762695613114
decile,5.794851285460129,544.7160208332522,0.6837007160799226,1.5250263467956486,0.006724227864953077,0.1701186486836391
`learners/non-learners`:decile,5.794851285460129,544.7160208332522,0.6837007160799226,0.5942627614503533,0.002631052972303746,0.7291974797250158
bin,2.777818675444906,261.1149554918212,0.2870611576200409,41.928606821547675,0.03610804828728621,5.8407743075803016e-21
`learners/non-learners`:bin,2.777818675444906,261.1149554918212,0.2870611576200409,2.54718154773039,0.002270585730852269,0.060964280599738116
decile:bin,16.751311404890643,1574.6232720597204,0.1178080322055936,1.7691675195667145,0.0038965836532230498,0.027601593506532598
`learners/non-learners`:decile:bin,16.751311404890643,1574.6232720597204,0.1178080322055936,0.9661858030597087,0.0021317901734464574,0.4938023309850025
