Effect,num Df,den Df,MSE,F,ges,P
`learners/non-learners`,1.0,89.0,3.8703905034285366,1.607666941510349,0.0018106014163347037,0.20812708625694867
decile,6.893632122200671,613.5332588758597,2.540520402076115,0.9336366102221623,0.004743976339274786,0.47874683045671507
`learners/non-learners`:decile,6.893632122200671,613.5332588758597,2.540520402076115,0.9845915761938164,0.005001592760399846,0.44066841719486594
bin,3.7341123911316125,332.3360028107135,1.7121624718910788,121.93176414256044,0.18517161063593818,2.970189646187189e-61
`learners/non-learners`:bin,3.7341123911316125,332.3360028107135,1.7121624718910788,0.6386750805499315,0.0011889257011238775,0.6245061082962093
decile:bin,99.0,8811.0,0.10875022587974674,1.0827540325962908,0.003386732321741738,0.27098396680749104
`learners/non-learners`:decile:bin,99.0,8811.0,0.10875022587974674,1.082825475567538,0.0033869550304188845,0.2708271313080464
