Effect,num Df,den Df,MSE,F,ges,P
`learners/non-learners`,1.0,94.0,16.585080534355683,1.2144222911098688,0.010987255097393794,0.2732716933470308
decile,4.27401681102791,401.7575802366236,0.3664510906138465,20.08832444325547,0.017057835751249594,7.08701817735483e-16
`learners/non-learners`:decile,4.27401681102791,401.7575802366236,0.3664510906138465,1.4966252054676883,0.0012912316638444906,0.19888851198088894
bin,2.0734481414563435,194.9041252968963,0.2973273764429781,461.2323349596767,0.135573794575109,8.12049437454999e-76
`learners/non-learners`:bin,2.0734481414563435,194.9041252968963,0.2973273764429781,1.7868165557266023,0.0006072174697419142,0.1688477811765572
decile:bin,17.237490828034115,1620.3241378352068,0.030140105954577858,0.9663589555656412,0.00027684523588886563,0.4948117819401776
`learners/non-learners`:decile:bin,17.237490828034115,1620.3241378352068,0.030140105954577858,1.341391669530639,0.00038424438089714374,0.15630524210872432
