Effect,num Df,den Df,MSE,F,ges,P
`learners/non-learners`,1.0,89.0,29.073792823883743,1.3744890537388714,0.012388262721400799,0.24417069900794014
decile,4.304296632446911,383.08240028777504,0.5987300069900909,29.260746110918472,0.02312276628416194,1.8380625344209403e-22
`learners/non-learners`:decile,4.304296632446911,383.08240028777504,0.5987300069900909,0.8826915702070689,0.0007135318946563994,0.4803383211946767
bin,1.862649152916851,165.77577460959972,1.4561388659342978,80.68134035279965,0.06427420958777501,4.385973490260201e-24
`learners/non-learners`:bin,1.862649152916851,165.77577460959972,1.4561388659342978,1.1901517789100666,0.0010122261754650285,0.30457429101638284
decile:bin,99.0,8811.0,0.014468187139696805,0.9751134051817842,0.00043822310007588937,0.5512762785582785
`learners/non-learners`:decile:bin,99.0,8811.0,0.014468187139696805,1.2678580809544528,0.0005697097477201322,0.03813849162349486
