Effect,num Df,den Df,MSE,F,ges,P
`learners/non-learners`,1.0,94.0,17.483027325865613,0.3477850431459396,0.003332663932729299,0.5567845358851062
decile,4.200056564034853,394.8053170192762,0.27865173790182113,37.14061975018472,0.023346422771858878,2.3165386094378667e-27
`learners/non-learners`:decile,4.200056564034853,394.8053170192762,0.27865173790182113,1.4031729695111974,0.0009022976461482089,0.23017430448596396
bin,2.038729625280718,191.6405847763875,0.14346942656375145,36.69001323149595,0.005867121217033186,2.0863762335443754e-14
`learners/non-learners`:bin,2.038729625280718,191.6405847763875,0.14346942656375145,1.515118471710522,0.00024365398444552578,0.2221073002986983
decile:bin,17.965211810618865,1688.7299101981735,0.022190852933678017,1.3017443313160688,0.00028531319926867706,0.17657025134835239
`learners/non-learners`:decile:bin,17.965211810618865,1688.7299101981735,0.022190852933678017,1.412373728435629,0.00030955317921041334,0.11569163137801167
