Effect,num Df,den Df,MSE,F,ges,P
`learners/non-learners`,1.0,89.0,4.121954791577979,4.275555948637083,0.007822762069311404,0.0415674723474257
decile,6.461182435639417,575.0452367719081,1.6232693608074142,0.9828288682890328,0.004590471938083755,0.4392203445092857
`learners/non-learners`:decile,6.461182435639417,575.0452367719081,1.6232693608074142,1.1600048245149674,0.005413522977745862,0.3252789484837592
bin,4.210239983141553,374.7113584995982,0.8580644338286525,85.04961002126616,0.12084766334013224,3.792064053247178e-53
`learners/non-learners`:bin,4.210239983141553,374.7113584995982,0.8580644338286525,1.9340360589829426,0.00311609684484478,0.10044853991706791
decile:bin,99.0,8811.0,0.06961869423102371,1.1129049724185638,0.003419845052448691,0.2095870502897779
`learners/non-learners`:decile:bin,99.0,8811.0,0.06961869423102371,1.1144190874810502,0.0034244818425906713,0.20676322484627763
