Effect,num Df,den Df,MSE,F,ges,P
`learners/non-learners`,1.0,94.0,0.9313003993057014,5.366697486759941,0.02068573085507943,0.022697198418375013
decile,7.229559883459704,679.5786290452122,0.06665111493820645,1.947917622730203,0.003951139745724252,0.057511556456309836
`learners/non-learners`:decile,7.229559883459704,679.5786290452122,0.06665111493820645,1.4720341080768384,0.0029887465931696723,0.17165606712776346
bin,2.143012656356916,201.4431896975501,0.28647520464793585,487.8439442119962,0.5586431322627144,2.600215676274998e-80
`learners/non-learners`:bin,2.143012656356916,201.4431896975501,0.28647520464793585,2.0794437102722614,0.005366288293459485,0.12409030272069622
decile:bin,17.69836119458785,1663.6459522912578,0.027693869788010066,0.7814639787241258,0.0016161255812874118,0.7219212522284273
`learners/non-learners`:decile:bin,17.69836119458785,1663.6459522912578,0.027693869788010066,1.1699240046229717,0.0024175476114456076,0.2790804675460753
