column_0,column_1,participant,trial,period
11.782141,-8.679873,1,48,feedback
-18.364641,-23.492764,1,48,planning
-2.3834305,29.136812,1,49,baseline
19.372389,-49.64873,1,49,feedback
-16.280989,-59.872208,1,49,planning
-45.86188,37.225502,1,50,baseline
-21.555471,-41.273434,1,50,feedback
-54.26794,-4.443979,1,50,planning
-37.684345,15.79652,1,51,baseline
34.06055,-4.3260236,1,51,feedback
-53.832695,-12.2562895,1,51,planning
-25.31557,-22.558811,1,52,baseline
64.46688,3.5960736,1,52,feedback
8.040359,-22.165432,1,52,planning
49.878876,6.1017866,1,53,baseline
76.79955,-4.502698,1,53,feedback
47.900917,-33.25968,1,53,planning
48.65815,15.449411,1,54,baseline
80.72616,-3.6960835,1,54,feedback
44.33912,-38.625626,1,54,planning
49.843227,24.496067,1,55,baseline
76.717804,-1.8556881,1,55,feedback
10.944829,-31.792917,1,55,planning
41.16338,19.174057,1,56,baseline
43.508045,-35.480072,1,56,feedback
26.89817,1.2728045,1,56,planning
54.472446,19.866789,1,57,baseline
79.01564,-7.653794,1,57,feedback
15.2205305,-39.91296,1,57,planning
44.699657,12.919473,1,58,baseline
64.62803,-4.427981,1,58,feedback
67.94053,-5.270229,1,58,planning
24.427872,17.714851,1,59,baseline
19.145683,50.115837,1,59,feedback
34.44759,-7.6767764,1,59,planning
-12.539118,14.85889,1,60,baseline
49.077877,25.32759,1,60,feedback
-1.5740486,-58.993378,1,60,planning
-10.041825,41.96878,1,61,baseline
26.00021,-48.745373,1,61,feedback
-6.479098,2.0013902,1,61,planning
63.40093,-10.048246,1,62,baseline
15.093096,-11.171236,1,62,feedback
30.412302,-25.398373,1,62,planning
53.42994,23.814045,1,63,baseline
26.164297,-47.185062,1,63,feedback
-10.766038,-59.788834,1,63,planning
49.801994,6.841209,1,64,baseline
-4.681334,32.784485,1,64,feedback
45.957962,-35.876305,1,64,planning
41.773823,18.873093,1,65,baseline
29.109266,23.865566,1,65,feedback
29.183992,-41.96172,1,65,planning
3.9375322,31.777906,1,66,baseline
53.539803,-25.663649,1,66,feedback
1.0167118,9.283017,1,66,planning
3.9566054,31.754097,1,67,baseline
13.768192,7.1614323,1,67,feedback
-49.389404,0.20327184,1,67,planning
-3.3837435,26.669664,1,68,baseline
21.911825,11.423695,1,68,feedback
53.372993,-35.689476,1,68,planning
6.4787583,-19.987667,1,69,baseline
52.742214,20.676697,1,69,feedback
17.063072,2.1981218,1,69,planning
35.757214,32.293415,1,70,baseline
80.101776,9.610517,1,70,feedback
-18.043726,-22.568066,1,70,planning
32.903267,35.751953,1,71,baseline
44.987106,34.529316,1,71,feedback
41.679592,-12.322305,1,71,planning
66.13389,0.85578954,1,72,baseline
-48.121113,37.060898,1,72,feedback
32.782017,-26.963182,1,72,planning
6.498324,-25.743149,1,73,baseline
53.9511,-1.6329476,1,73,feedback
-8.854545,-53.323822,1,73,planning
49.48301,6.0031004,1,74,baseline
20.381384,-26.759674,1,74,feedback
39.85085,-15.8800745,1,74,planning
-6.64536,4.5644054,1,75,baseline
60.11949,-5.0290074,1,75,feedback
0.6136838,1.8335307,1,75,planning
-2.680252,16.968342,1,76,baseline
38.57376,28.207092,1,76,feedback
10.875187,19.454334,1,76,planning
33.448845,-29.164064,1,77,baseline
69.97866,2.9418285,1,77,feedback
-12.477487,22.65592,1,77,planning
27.679771,-39.17905,1,78,baseline
53.03723,14.203405,1,78,feedback
-13.1721,37.619904,1,78,planning
68.87955,4.306486,1,79,baseline
73.23064,-5.880676,1,79,feedback
50.886177,-33.27734,1,79,planning
-42.11675,16.582993,1,80,baseline
32.07112,24.290659,1,80,feedback
-39.84631,-4.992758,1,80,planning
21.155539,11.455538,1,81,baseline
62.179394,21.624863,1,81,feedback
-12.506058,34.40196,1,81,planning
18.896894,6.2213273,1,82,baseline
37.88718,-40.24548,1,82,feedback
22.973091,34.1433,1,82,planning
36.83937,37.5708,1,83,baseline
54.75852,-12.152561,1,83,feedback
-41.526794,-3.4828136,1,83,planning
69.19314,5.3841133,1,84,baseline
53.510223,-7.7835326,1,84,feedback
30.116203,-24.835966,1,84,planning
-4.418285,11.358984,1,85,baseline
36.879204,-21.985987,1,85,feedback
62.486504,-23.587326,1,85,planning
-52.385204,19.333551,1,86,baseline
20.321112,48.187572,1,86,feedback
-28.141588,17.617748,1,86,planning
-66.09141,19.710169,1,87,baseline
5.099757,46.729755,1,87,feedback
-68.029,9.874438,1,87,planning
-52.758026,16.899345,1,88,baseline
38.43914,-27.69738,1,88,feedback
-42.377712,0.4983473,1,88,planning
40.15141,-0.51571906,1,89,baseline
-9.770455,-51.545784,1,89,feedback
-47.991173,11.038861,1,89,planning
-65.58186,-15.084207,1,90,baseline
-79.60154,-13.267652,1,90,feedback
-47.96796,11.010924,1,90,planning
0.16405775,-2.9388652,1,91,baseline
-13.205501,4.2183447,1,91,feedback
-31.482483,-23.846706,1,91,planning
30.262403,-9.311347,1,92,baseline
24.776537,-36.44857,1,92,feedback
-14.90849,-59.592884,1,92,planning
50.844246,2.8504376,1,93,baseline
3.4804482,-27.162106,1,93,feedback
-33.86175,49.657925,1,93,planning
1.1475719,3.5929108,1,94,baseline
56.840855,-28.699055,1,94,feedback
-28.014444,-54.47217,1,94,planning
32.058098,35.73108,1,95,baseline
27.08569,-20.107702,1,95,feedback
36.604137,-25.64726,1,95,planning
44.9018,13.700265,1,96,baseline
57.171593,9.771581,1,96,feedback
58.65201,2.318222,1,96,planning
68.19697,-8.453823,1,97,baseline
10.891613,-23.992813,1,97,feedback
75.89093,10.043002,1,97,planning
-41.05427,-25.0789,1,98,baseline
42.43364,-5.1838026,1,98,feedback
-20.071543,-18.230234,1,98,planning
18.84146,36.98394,1,99,baseline
20.031042,11.161586,1,99,feedback
-51.67288,-33.556473,1,99,planning
-22.10507,-4.061031,2,0,baseline
-70.30146,6.7930617,2,0,feedback
-52.945194,-25.254452,2,0,planning
-29.335058,-29.40245,2,1,baseline
-50.48634,-27.271015,2,1,feedback
22.732353,49.5023,2,1,planning
-27.948996,9.368217,2,2,baseline
-53.92494,-19.060442,2,2,feedback
-13.274913,-2.5805182,2,2,planning
-32.718533,-14.942527,2,3,baseline
-0.88572997,-31.600199,2,3,feedback
-5.593118,30.931078,2,3,planning
-3.7695713,0.5341471,2,4,baseline
-43.271175,-19.866867,2,4,feedback
32.79895,-47.569126,2,4,planning
-63.183628,18.70376,2,5,baseline
-74.90786,-14.506362,2,5,feedback
-59.385933,-8.511099,2,5,planning
-36.732468,29.532755,2,6,baseline
-43.38649,-32.803032,2,6,feedback
-65.502365,-15.086961,2,6,planning
-13.286567,-5.497587,2,7,baseline
10.654683,53.482525,2,7,feedback
-3.1004024,-13.655289,2,7,planning
-8.66301,8.597447,2,8,baseline
-12.866121,-3.3539732,2,8,feedback
4.0462074,-32.27747,2,8,planning
-35.80331,-2.776143,2,9,baseline
-8.067233,-31.070213,2,9,feedback
-32.476856,-38.29054,2,9,planning
-56.15071,10.069115,2,10,baseline
-22.391523,-25.235825,2,10,feedback
-13.043524,-1.2502583,2,10,planning
-13.082378,28.835958,2,11,baseline
-41.56458,-25.55734,2,11,feedback
-59.59733,-26.29704,2,11,planning
-28.449333,5.0448046,2,12,baseline
-14.991517,-43.518253,2,12,feedback
-58.83501,-3.3302038,2,12,planning
-0.5722513,-10.046615,2,13,baseline
-7.665084,-41.976574,2,13,feedback
-37.082184,14.446375,2,13,planning
-47.47977,3.9841664,2,14,baseline
-12.1161,-15.778793,2,14,feedback
0.72163707,1.4972483,2,14,planning
-11.495087,10.230642,2,15,baseline
12.672978,-40.48645,2,15,feedback
-36.209488,-35.215244,2,15,planning
-48.06661,-24.448416,2,16,baseline
-28.347824,-15.024476,2,16,feedback
-11.516845,2.7385716,2,16,planning
-18.999825,-17.844467,2,17,baseline
28.540405,-34.54486,2,17,feedback
-41.63374,-16.605736,2,17,planning
-9.276235,32.473053,2,18,baseline
-7.8406305,22.854889,2,18,feedback
-9.831918,-13.233828,2,18,planning
-9.728299,29.469812,2,19,baseline
9.274814,30.211021,2,19,feedback
22.569418,-12.955475,2,19,planning
-30.129047,-13.096015,2,20,baseline
-18.214302,-48.943676,2,20,feedback
-22.125042,-33.2501,2,20,planning
-7.961928,47.08059,2,21,baseline
-10.858292,-25.390772,2,21,feedback
-75.073265,1.6268919,2,21,planning
-45.392548,25.008533,2,22,baseline
14.127213,-37.210323,2,22,feedback
-27.62902,28.018349,2,22,planning
-43.2268,-19.806862,2,23,baseline
38.55024,22.196354,2,23,feedback
-7.351636,26.74982,2,23,planning
15.340025,30.649418,2,24,baseline
13.346416,12.550126,2,24,feedback
0.06055568,-22.34835,2,24,planning
-9.063441,30.169073,2,25,baseline
-25.34361,-5.788448,2,25,feedback
-49.811024,-5.0964327,2,25,planning
6.821283,18.686556,2,26,baseline
-46.271534,40.51625,2,26,feedback
-30.133837,47.132427,2,26,planning
14.546378,-12.578334,2,27,baseline
-14.515393,1.8797951,2,27,feedback
0.15581748,-51.103138,2,27,planning
-14.869078,46.035374,2,28,baseline
-9.742984,-8.686086,2,28,feedback
-53.158123,-32.193565,2,28,planning
-5.7896643,-0.029015595,2,29,baseline
-80.18482,1.6631052,2,29,feedback
-21.048628,38.019993,2,29,planning
-47.488804,32.653214,2,30,baseline
-7.0242095,-0.03987116,2,30,feedback
-4.899925,33.462986,2,30,planning
-50.770844,-5.4880376,2,31,baseline
13.667615,31.30943,2,31,feedback
-54.502285,-13.713693,2,31,planning
45.3255,34.36436,2,32,baseline
77.712456,-7.8256927,2,32,feedback
-22.84382,7.95352,2,32,planning
34.833736,-17.354883,2,33,baseline
19.169409,13.872917,2,33,feedback
33.555874,-16.244293,2,33,planning
53.704956,18.737524,2,34,baseline
57.73459,-2.6145682,2,34,feedback
41.386536,-35.724415,2,34,planning
27.0575,20.511122,2,35,baseline
47.483845,17.9007,2,35,feedback
28.28459,1.0385971,2,35,planning
21.222218,29.159575,2,36,baseline
-5.0295744,7.8699946,2,36,feedback
14.863873,36.24548,2,36,planning
-24.419367,28.160322,2,37,baseline
38.770367,-39.603745,2,37,feedback
24.471512,9.485118,2,37,planning
-12.154479,2.430215,2,38,baseline
34.92309,10.9023485,2,38,feedback
13.374398,-56.71224,2,38,planning
39.299828,13.670644,2,39,baseline
45.778522,16.300264,2,39,feedback
42.121746,-40.363834,2,39,planning
4.236758,42.201637,2,40,baseline
15.055447,48.59606,2,40,feedback
0.5799287,-62.03412,2,40,planning
-2.0673087,34.34374,2,41,baseline
