Effect,num Df,den Df,MSE,F,ges,P
`learners/non-learners`,1.0,74.0,0.04980459485387214,0.45919667666953307,2.5639100798663378e-05,0.5001129056016789
decile,5.577524601640036,412.73682052136263,2.143190141562124,2.1221529083858464,0.027653227372841867,0.054579276708347085
`learners/non-learners`:decile,5.577524601640036,412.73682052136263,2.143190141562124,1.2871365306869897,0.016956849756067725,0.2646566360669965
bin,1.677953467981791,124.16855663065253,0.0031936454841526123,1.7517776125989761,1.0524144346931976e-05,0.1828273707008607
`learners/non-learners`:bin,1.677953467981791,124.16855663065253,0.0031936454841526123,0.20265502036449087,1.2175007379661989e-06,0.7780800736848478
decile:bin,12.433902956945962,920.1088188140012,0.0036110830610677673,1.2599210772289142,6.341712174761007e-05,0.23480005701750079
`learners/non-learners`:decile:bin,12.433902956945962,920.1088188140012,0.0036110830610677673,1.7350003183038776,8.732776789099915e-05,0.052393653274520995
