Effect,num Df,den Df,MSE,F,ges,P
`learners/non-learners`,1.0,74.0,0.04637995677820694,0.24690190040069657,1.2223165360847287e-05,0.620738075585771
decile,5.699325824654851,421.75011102445893,2.204272409708212,1.7896375893726335,0.02343627867779671,0.10368767798958765
`learners/non-learners`:decile,5.699325824654851,421.75011102445893,2.204272409708212,1.4210589032912966,0.018699799137067583,0.2080361826353781
bin,1.7635979388038212,130.50624747148277,0.00404482021285959,2.8217843629508397,2.1485601662060883e-05,0.06982316643963807
`learners/non-learners`:bin,1.7635979388038212,130.50624747148277,0.00404482021285959,0.8032022808875618,6.115828599108052e-06,0.4361842053591819
decile:bin,12.2465014264096,906.2411055543104,0.0035626645372895905,0.7321205435985914,3.4094865193391624e-05,0.723580874098039
`learners/non-learners`:decile:bin,12.2465014264096,906.2411055543104,0.0035626645372895905,0.5394306143839357,2.5121517598692604e-05,0.8925059626906251
