Effect,num Df,den Df,MSE,F,ges,P
`learners/non-learners`,1.0,74.0,0.07021206418609957,1.4853432335875558,5.8395642336483305e-05,0.22681142334664106
decile,5.644111282400682,417.6642348976505,4.216440430248375,2.244244587158815,0.029038940989877957,0.04182715957669345
`learners/non-learners`:decile,5.644111282400682,417.6642348976505,4.216440430248375,1.480614607080474,0.01934929516472509,0.18730261896806447
bin,1.5455052418523507,114.36738789707395,0.020416694427385394,1.8776241545501215,3.317549448895113e-05,0.16646814516567485
`learners/non-learners`:bin,1.5455052418523507,114.36738789707395,0.020416694427385394,0.7171551573730659,1.2671580070132759e-05,0.4563842844093292
decile:bin,99.0,7326.0,0.002349536327957394,0.8718207054180181,0.00011354354833850951,0.813464263430458
`learners/non-learners`:decile:bin,99.0,7326.0,0.002349536327957394,1.181277495425757,0.0001538401555679938,0.1070653983429725
