Effect,num Df,den Df,MSE,F,ges,P
`learners/non-learners`,1.0,91.0,0.23583759622287517,0.8635925045233,0.0006761350753255838,0.35519386631520466
decile,7.130699534540825,648.8936576432151,0.1350890367285624,1.3092596819727476,0.004172223597971201,0.24207604220363907
`learners/non-learners`:decile,7.130699534540825,648.8936576432151,0.1350890367285624,0.6787620128466342,0.0021673685954009545,0.6929790137871084
bin,2.0692428879177003,188.3011028005107,0.16893439021978496,6.432627011758802,0.0074146570919593705,0.0017579308243502291
`learners/non-learners`:bin,2.0692428879177003,188.3011028005107,0.16893439021978496,0.9737941798363108,0.001129564868032307,0.3819274265095245
decile:bin,99.0,9009.0,0.017769938270470586,1.0743507487665584,0.00623956352257446,0.2897630433924458
`learners/non-learners`:decile:bin,99.0,9009.0,0.017769938270470586,1.0026887070272648,0.0058257927703996605,0.4739235438246304
