Effect,num Df,den Df,MSE,F,ges,P
`learners/non-learners`,1.0,91.0,0.1845067857152396,0.7920840867997941,0.001169767303738278,0.3758175345307224
decile,7.405846131576253,673.9319979734391,0.0959601331787938,1.819364327486151,0.010254930385322976,0.07637514681802357
`learners/non-learners`:decile,7.405846131576253,673.9319979734391,0.0959601331787938,0.9777192310696005,0.005537227688117371,0.44877821842957444
bin,1.3375035028402436,121.71281875846216,0.046371041808342714,7.157673648959439,0.0035448315804311866,0.004252318411991509
`learners/non-learners`:bin,1.3375035028402436,121.71281875846216,0.046371041808342714,0.614229515967757,0.000305185622846866,0.47971519913826266
decile:bin,6.18166549466836,562.5315600148208,0.06699036110707784,0.8896077334084392,0.002943474764502912,0.504428723528546
`learners/non-learners`:decile:bin,6.18166549466836,562.5315600148208,0.06699036110707784,0.47628537219129163,0.0015780594011396058,0.8312332928392752
