participant,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
14,2027.0,2022.2,2011.75,2008.4,1997.85,2004.55,2019.4,2021.9,2027.15,2062.35,2042.75,2002.15,1967.0,1956.25,1948.2,1932.2,1935.05,1935.75,1905.05,1946.85,1921.85,1886.85,1859.35,1826.85,1796.85,1781.85,1779.35,1759.35,1736.85,1696.85,1693.25,1667.85,1660.35,1657.35,1618.55,1593.3,1571.85,1569.95,1563.4,1571.5,1543.8,1548.0,1545.3,1559.05,1529.6,1524.25,1534.9,1524.1,1523.05,1524.95,1512.65,1524.95,1535.05,1533.5,1517.6,1527.65,1527.2,1525.45,1539.6,1584.3,1568.1,1548.05,1533.3,1514.75,1494.2,1484.6,1482.8,1473.9,1470.55,1519.35,1488.75,1471.85,1436.15,1397.65,1381.15,1363.85,1351.95,1329.05,1329.35,1314.65,1311.75,1286.75,1279.4,1269.1,1269.3,1259.45,1240.3,1221.7,1222.15,1266.25,1266.0,1238.9,1218.6,1213.6,1203.15,1181.45,1163.65,1136.55,1137.7,1149.5
15,2003.1,1976.5,1962.0,1950.8,1930.45,1939.8,1919.7,1904.85,1893.8,1924.2,1935.95,1932.05,1928.35,1941.15,1950.1,1957.7,1940.3,1949.4,1964.2,1984.0,1976.65,1988.4,1980.55,1989.0,1996.9,2006.65,2003.55,2018.15,2032.65,2080.45,2059.85,2050.85,2065.0,2053.8,2054.45,2063.45,2061.05,2062.85,2059.55,2077.75,2087.25,2087.65,2071.9,2062.55,2050.7,2052.1,2064.5,2071.05,2052.9,2089.1,2087.75,2095.4,2113.15,2123.35,2139.8,2120.75,2124.35,2122.1,2127.65,2145.45,2156.1,2171.0,2156.2,2162.55,2161.0,2165.15,2162.9,2149.15,2147.9,2164.4,2150.25,2151.25,2160.5,2151.2,2161.1,2147.15,2132.3,2121.1,2118.4,2167.3,2158.55,2161.8,2133.25,2110.05,2106.65,2109.9,2122.85,2129.85,2121.35,2162.45,2160.55,2153.9,2156.5,2150.4,2143.4,2137.25,2118.55,2110.75,2086.85,2099.05
16,2011.1,2016.9,1998.3,1973.0,1966.55,1945.35,1943.7,1947.0,1942.1,1979.4,1977.6,1976.45,1987.05,1994.05,2003.05,2024.55,2030.35,2041.2,2056.5,2102.3,2111.0,2125.5,2108.35,2100.6,2107.1,2110.5,2117.35,2122.55,2136.5,2163.4,2169.4,2162.2,2173.9,2179.1,2197.7,2202.6,2203.4,2196.6,2199.0,2222.5,2219.8,2214.55,2215.2,2205.4,2211.5,2225.6,2233.2,2239.35,2242.15,2249.85,2256.7,2262.25,2271.55,2283.7,2299.4,2313.8,2321.2,2342.45,2353.3,2384.9,2365.75,2341.8,2332.7,2321.9,2305.6,2314.35,2275.85,2235.5,2218.5,2239.7,2222.15,2207.65,2172.95,2160.0,2165.6,2170.45,2164.15,2163.85,2120.5,2116.3,2089.2,2087.8,2085.4,2054.3,2047.9,2052.2,2036.1,2014.2,2008.1,2023.1,2019.6,2010.4,2007.4,2012.1,1992.8,1982.4,1966.4,1945.4,1951.9,1962.3
17,1985.0,1974.4,1958.5,1943.45,1906.3,1896.6,1876.9,1866.75,1849.95,1849.55,1844.9,1828.2,1828.5,1814.6,1824.95,1799.2,1787.4,1766.5,1765.95,1816.85,1798.95,1775.75,1757.15,1739.05,1709.95,1678.65,1664.85,1640.25,1609.75,1597.45,1590.45,1583.15,1570.45,1552.45,1540.45,1505.15,1507.45,1487.65,1466.25,1518.15,1530.35,1532.55,1506.85,1494.65,1499.45,1498.15,1513.05,1508.75,1503.85,1511.55,1513.6,1502.4,1493.05,1476.9,1476.3,1456.25,1467.35,1454.15,1457.5,1503.6,1477.2,1457.4,1434.1,1437.2,1420.4,1419.0,1420.2,1393.7,1378.8,1365.5,1362.85,1355.65,1362.5,1382.7,1385.55,1386.55,1377.0,1389.0,1399.65,1429.95,1447.45,1444.75,1422.85,1410.05,1408.55,1398.35,1394.75,1392.35,1388.85,1400.15,1364.15,1372.15,1343.25,1343.9,1363.15,1361.25,1364.0,1361.35,1341.35,1356.85
18,1988.3,1976.35,1983.8,1969.65,1981.55,1992.0,1992.9,1991.7,1983.35,2035.25,2010.2,1978.4,1969.8,1962.15,1972.35,1965.55,1962.95,1945.85,1937.9,1989.9,1985.3,1959.35,1931.15,1911.35,1889.95,1873.45,1871.65,1858.6,1856.15,1913.75,1891.15,1853.15,1838.6,1818.25,1808.8,1780.45,1765.45,1754.15,1739.55,1799.15,1785.2,1764.3,1754.25,1749.8,1747.25,1737.15,1728.6,1720.35,1730.65,1777.95,1774.35,1753.8,1732.3,1716.05,1692.3,1682.45,1660.45,1658.95,1651.35,1687.55,1700.25,1702.5,1710.65,1701.85,1696.55,1699.6,1710.95,1693.4,1689.35,1713.65,1692.75,1689.95,1685.55,1671.0,1678.65,1685.3,1677.2,1656.25,1644.35,1651.65,1630.8,1641.9,1631.35,1587.05,1561.35,1533.1,1536.15,1523.7,1459.95,1476.05,1487.0,1496.7,1495.9,1495.45,1502.05,1513.4,1530.3,1556.7,1586.4,1607.4
19,2028.6,1958.1,1986.25,1969.7,1987.3,1982.15,1980.8,1971.85,1983.55,2007.25,1989.5,1970.65,1969.75,1970.2,1974.25,1972.55,1977.55,1964.65,1943.75,1975.85,1966.0,1967.0,1965.45,1969.45,1979.3,1990.8,1992.55,1985.9,1979.55,2006.05,1983.45,1975.4,1955.2,1957.2,1950.25,1943.55,1934.5,1929.65,1918.2,1969.7,1993.7,1956.2,1961.65,1949.95,1944.35,1945.3,1926.4,1919.9,1907.95,1942.15,1952.1,1953.35,1939.6,1932.55,1925.95,1933.1,1925.0,1920.45,1907.05,1945.75,1933.45,1915.6,1885.05,1876.45,1852.2,1837.35,1831.7,1808.5,1795.1,1830.9,1807.8,1808.1,1810.5,1815.0,1801.9,1806.55,1819.85,1808.6,1788.7,1824.9,1836.3,1828.3,1828.7,1845.2,1863.0,1868.35,1879.15,1885.15,1898.8,1943.2,1970.25,1997.65,2026.8,2055.45,2083.65,2108.65,2139.15,2167.3,2195.5,2245.5
20,1975.0,1995.8,1992.05,1983.8,1986.7,1998.7,2005.0,2025.1,2017.65,2038.65,2033.05,2030.45,2030.05,2030.4,2012.85,2005.15,1976.8,1957.15,1910.9,1922.8,1918.15,1900.55,1897.65,1886.2,1903.8,1893.65,1889.8,1870.55,1886.3,1886.4,1853.5,1849.5,1845.1,1784.7,1788.5,1764.0,1750.9,1708.6,1700.8,1719.5,1745.55,1748.4,1759.65,1761.75,1775.8,1792.1,1814.3,1833.1,1853.75,1868.65,1876.15,1878.45,1887.25,1908.65,1911.9,1926.1,1926.7,1929.6,1942.7,1960.9,1985.5,1976.6,1976.2,1989.8,2002.1,2008.2,2012.25,1992.25,2002.9,2011.7,2015.65,2035.25,2044.2,2051.8,2076.45,2080.8,2084.25,2100.15,2099.8,2124.1,2138.1,2146.3,2151.6,2156.25,2148.15,2153.85,2166.9,2167.65,2178.2,2189.7,2173.3,2180.75,2173.9,2190.6,2182.5,2179.2,2165.75,2169.6,2176.25,2201.55
21,1992.5,1986.45,1934.6,1924.8,1907.85,1903.0,1904.95,1870.95,1860.95,1875.45,1858.85,1859.95,1839.35,1829.1,1809.65,1792.65,1788.8,1737.7,1724.25,1718.05,1734.6,1751.35,1764.35,1768.95,1782.4,1804.2,1831.25,1842.35,1857.15,1894.85,1847.75,1806.45,1774.55,1739.55,1694.05,1661.35,1625.55,1577.25,1547.05,1647.05,1641.55,1652.25,1674.15,1694.85,1719.75,1740.05,1766.25,1791.35,1819.35,1836.35,1860.15,1870.0,1866.45,1866.15,1861.25,1840.7,1828.35,1820.1,1810.7,1886.6,1915.6,1945.6,1970.6,1996.1,2019.1,2041.6,2068.6,2095.1,2118.6,2136.6,2111.6,2099.1,2071.6,2041.6,1996.6,1974.1,1954.1,1916.6,1879.1,1886.6,1892.1,1887.2,1878.7,1886.45,1880.35,1900.4,1918.7,1937.75,1947.35,1961.65,1982.8,1995.15,2004.75,2024.65,2042.25,2055.85,2068.15,2085.85,2109.1,2148.3
22,2027.0,2052.85,2080.75,2100.6,2122.15,2144.55,2170.0,2197.95,2231.1,2258.6,2271.1,2265.1,2254.8,2236.3,2231.7,2216.4,2186.3,2160.5,2132.6,2221.0,2249.95,2247.45,2209.95,2197.45,2179.95,2142.45,2097.45,2089.95,2057.45,2044.95,2032.95,2030.4,2017.75,1974.05,1974.5,1959.85,1944.05,1920.05,1900.45,1951.05,1978.05,1993.25,2010.75,2024.15,2051.65,2066.75,2093.75,2108.5,2137.0,2196.8,2181.0,2159.35,2138.45,2134.6,2103.6,2105.5,2102.3,2067.6,2039.6,2028.7,2053.15,2047.55,2042.6,2052.4,2075.7,2089.0,2101.25,2118.6,2143.85,2164.35,2172.65,2186.45,2181.25,2177.65,2164.75,2159.75,2148.95,2128.25,2101.45,2139.05,2158.8,2118.5,2095.05,2104.15,2090.8,2078.95,2089.35,2100.5,2107.0,2099.0,2086.5,2074.0,2064.0,2056.5,2006.5,2019.0,1974.0,1956.5,1924.0,1849.0
24,1996.9,2001.55,2002.1,1993.4,1983.25,1978.7,1970.7,1964.2,1949.6,1987.2,1985.05,1961.7,1946.7,1945.5,1954.55,1945.35,1936.7,1933.45,1919.4,1944.4,1931.05,1922.5,1908.2,1895.8,1859.25,1818.35,1802.0,1784.65,1751.05,1782.05,1757.85,1773.2,1775.55,1778.5,1766.2,1759.25,1765.6,1747.5,1737.9,1756.0,1750.55,1757.95,1766.9,1763.75,1765.55,1742.55,1740.0,1735.85,1724.35,1761.45,1761.45,1773.65,1762.4,1754.8,1767.2,1761.8,1760.55,1754.2,1749.15,1796.85,1798.25,1787.95,1796.75,1769.2,1770.9,1773.7,1767.7,1753.65,1753.0,1751.6,1750.75,1758.65,1754.15,1779.15,1769.45,1775.45,1784.8,1780.0,1762.35,1774.05,1790.5,1806.15,1808.45,1825.3,1837.65,1862.25,1882.0,1884.1,1894.25,1927.15,1896.55,1882.6,1878.85,1877.0,1878.2,1866.55,1854.35,1856.5,1859.25,1893.15
