Effect,num Df,den Df,MSE,F,ges,P
`learners/non-learners`,1.0,104.0,0.9468530116980423,0.9687229210294882,0.0008717140296867933,0.32728311538134025
decile,5.545047579316767,576.6849482489438,1.5303162726111859,2.308338800518441,0.018291082216649567,0.037059394365261136
`learners/non-learners`:decile,5.545047579316767,576.6849482489438,1.5303162726111859,0.6152256538213664,0.004941289016674881,0.7052675716107024
bin,1.3432674592554952,139.69981576257152,0.0660410070302111,1.5141892327091924,0.00012775311239942574,0.2249128436223589
`learners/non-learners`:bin,1.3432674592554952,139.69981576257152,0.0660410070302111,0.2281908968026646,1.9254700811715052e-05,0.7050530815195445
decile:bin,10.423098881675326,1084.002283694234,0.05636291916219657,1.8057283916197802,0.0010080345059886877,0.052434289219070236
`learners/non-learners`:decile:bin,10.423098881675326,1084.002283694234,0.05636291916219657,0.6600204964535515,0.0003686873618622579,0.7686986643564216
