Effect,num Df,den Df,MSE,F,ges,P
`learners/non-learners`,1.0,104.0,0.5770224507035512,0.4777414190715126,0.00012404235338904612,0.49098711722187605
decile,5.066944931195324,526.9622728443137,3.285838134718921,3.552910222177307,0.02593014538988342,0.0034511695570887853
`learners/non-learners`:decile,5.066944931195324,526.9622728443137,3.285838134718921,0.40690358806122473,0.0030394856176947454,0.8463971206507126
bin,1.48425579641608,154.36260282727233,0.5424538015125812,44.74694761294178,0.015954687004344055,3.6048441206850956e-13
`learners/non-learners`:bin,1.48425579641608,154.36260282727233,0.5424538015125812,1.222115148830723,0.00044261857349453207,0.28833707790495156
decile:bin,13.234504017973592,1376.3884178692535,0.2519875983493469,1.2276398503558958,0.0018390631828822746,0.25173465868405276
`learners/non-learners`:decile:bin,13.234504017973592,1376.3884178692535,0.2519875983493469,0.8852835252492398,0.0013268775521748982,0.5699920976600092
