Effect,num Df,den Df,MSE,F,ges,P
`learners/non-learners`,1.0,104.0,580.919230169573,0.6167247169115548,0.0039937025287032045,0.43405242505915376
decile,4.2475623709527515,441.7464865790861,60.533706173526404,1.7682121653692746,0.005062600770456485,0.1299674105036743
`learners/non-learners`:decile,4.2475623709527515,441.7464865790861,60.533706173526404,0.5441437948018749,0.0015634273763492723,0.7140422688868762
bin,1.362906380268214,141.74226354789425,1.7913063070830444,1.0899849699354476,2.978173372065459e-05,0.3183710879072617
`learners/non-learners`:bin,1.362906380268214,141.74226354789425,1.7913063070830444,1.0269834184690825,2.8060386333363655e-05,0.33572510129164834
decile:bin,7.924432532130309,824.1409833415522,2.353629324734037,1.0340350456463558,0.00021580141440847,0.408210155867955
`learners/non-learners`:decile:bin,7.924432532130309,824.1409833415522,2.353629324734037,0.7509725786926167,0.00015673600194586785,0.6451041000954074
