Effect,num Df,den Df,MSE,F,ges,P
`learners/non-learners`,1.0,104.0,1046.2702737439952,1.1349579026909733,0.0056225095803405616,0.2891873698349678
decile,3.6739566801404737,382.0914947346093,206.26105899387238,1.7427168662194392,0.006249006328111969,0.14548976963067256
`learners/non-learners`:decile,3.6739566801404737,382.0914947346093,206.26105899387238,0.3856638555568271,0.0013896695684590358,0.8029224334949652
bin,1.510100564416549,157.0504586993211,16.3221245916888,25.159266176719964,0.002944118645687229,1.6964989044333522e-08
`learners/non-learners`:bin,1.510100564416549,157.0504586993211,16.3221245916888,0.22409540454071167,2.6300219116919005e-05,0.7359592266966295
decile:bin,2.6414973562697175,274.7157250520506,72.16985017650337,0.9585524715272971,0.0008693595572611751,0.40433379625712174
`learners/non-learners`:decile:bin,2.6414973562697175,274.7157250520506,72.16985017650337,0.7285496566615641,0.0006608962736897729,0.5192976770890674
