Effect,num Df,den Df,MSE,F,ges,P
`learners/non-learners`,1.0,104.0,719.0578864194448,0.8519241413758124,0.005648387752504951,0.3581450081552109
decile,4.115634780855373,428.0260172089588,71.77674363725436,2.459035759068819,0.006690977141668783,0.043255143125213
`learners/non-learners`:decile,4.115634780855373,428.0260172089588,71.77674363725436,1.2028512567689662,0.0032841547297084318,0.3087686039770017
bin,1.5067942220405415,156.7065990922163,2.5533808718811177,34.91861311139784,0.0012442440412472348,5.477825782164716e-11
`learners/non-learners`:bin,1.5067942220405415,156.7065990922163,2.5533808718811177,3.0080137235897655,0.000107305627051411,0.0666813753133097
decile:bin,7.047727325602051,732.9636418626134,2.640824985596185,0.5008713337362787,8.643648360626526e-05,0.8353345351109149
`learners/non-learners`:decile:bin,7.047727325602051,732.9636418626134,2.640824985596185,0.6862642012020828,0.00011842635550049083,0.6848286075920715
