Effect,num Df,den Df,MSE,F,ges,P
`learners/non-learners`,1.0,74.0,62.95668906337955,0.24016628253311145,0.0029320269083030663,0.6255358891845901
decile,5.200544948552276,384.8403261928684,1.2506976191063812,2.0905643243931276,0.0026375881218218796,0.06311037701506547
`learners/non-learners`:decile,5.200544948552276,384.8403261928684,1.2506976191063812,1.1593566944295184,0.0014644382279784315,0.32847984164973854
bin,1.7995475667628555,133.1665199404513,0.0015995989124462714,2.5540368239825373,1.4298491904040696e-06,0.08730183651133576
`learners/non-learners`:bin,1.7995475667628555,133.1665199404513,0.0015995989124462714,0.8809810382298451,4.932079257066754e-07,0.40702111378003736
decile:bin,12.238593357600319,905.6559084624236,0.0015684107096748437,0.8048409096836872,3.0046183265509477e-06,0.6481430616427383
`learners/non-learners`:decile:bin,12.238593357600319,905.6559084624236,0.0015684107096748437,0.5513733710297773,2.058379591596671e-06,0.8839721225712643
