Effect,num Df,den Df,MSE,F,ges,P
`learners/non-learners`,1.0,74.0,63.53254868960184,0.21954283183751983,0.0026954676908999262,0.6407658078209109
decile,4.997832834645418,369.83962976376097,1.236807423068516,2.32991460811116,0.002782942990808544,0.04207861319762312
`learners/non-learners`:decile,4.997832834645418,369.83962976376097,1.236807423068516,1.0434676493908677,0.0012482774861274696,0.3917353132911672
bin,1.5585862915771158,115.33538557670659,0.001867044763903403,1.290763064068014,7.278176680873438e-07,0.27399846728109567
`learners/non-learners`:bin,1.5585862915771158,115.33538557670659,0.001867044763903403,0.14289412899598772,8.057322211831388e-08,0.8143820374445945
decile:bin,10.41000620700232,770.3404593181716,0.0021583350477924453,1.1579845063419723,5.041516683193277e-06,0.3147734116841161
`learners/non-learners`:decile:bin,10.41000620700232,770.3404593181716,0.0021583350477924453,1.6185306338826546,7.046582045939386e-06,0.09337985739298982
