Effect,num Df,den Df,MSE,F,ges,P
`learners/non-learners`,1.0,74.0,126.3117577527005,0.20767250750284535,0.0025521385318665714,0.6499322811086264
decile,5.0461857806378,373.4177477671972,2.396771199860613,2.4805177345929543,0.002917792283302371,0.03105716107027553
`learners/non-learners`:decile,5.0461857806378,373.4177477671972,2.396771199860613,1.224476713648589,0.0014424630355006135,0.2967157215186459
bin,1.5475458927452985,114.5183960631521,0.010284026457597305,2.1564006151242694,3.3475415086720405e-06,0.13211123563424126
`learners/non-learners`:bin,1.5475458927452985,114.5183960631521,0.010284026457597305,0.3929969916776535,6.100802116923113e-07,0.6225834898739865
decile:bin,99.0,7326.0,0.0011955753311069328,0.7313931203682777,8.444046168611652e-06,0.9789557710979478
`learners/non-learners`:decile:bin,99.0,7326.0,0.0011955753311069328,1.3623072473946425,1.5727932328630484e-05,0.010182725888544224
