Effect,num Df,den Df,MSE,F,ges,P
`learners/non-learners`,1.0,91.0,14121.38113966434,0.024884009867971617,0.0002571731858160921,0.8750059345528434
decile,3.476652347734972,316.37536364388245,255.88308939671862,0.9095295438593816,0.0005919736046344583,0.44800426906524327
`learners/non-learners`:decile,3.476652347734972,316.37536364388245,255.88308939671862,2.0035184152336667,0.001303076010954814,0.10359194716500585
bin,11.0,1001.0,0.003171919345193185,27.276511124290447,6.966957904936486e-07,3.9791817590863685e-50
`learners/non-learners`:bin,11.0,1001.0,0.003171919345193185,2.9834382455578567,7.620293325389903e-08,0.0006490335410072234
decile:bin,99.0,9009.0,0.0028601146158039647,2.989923832328018,6.197525694574885e-07,4.8073257355768336e-21
`learners/non-learners`:decile:bin,99.0,9009.0,0.0028601146158039647,1.1454311012561016,2.3742549287459641e-07,0.15442626621395714
