Effect,num Df,den Df,MSE,F,ges,P
`learners/non-learners`,1.0,91.0,7027.0614525081655,0.022977149122246895,0.00023763437784870065,0.8798520538593173
decile,3.4857096656336783,317.19957957266473,125.55853858845572,0.7291391917933068,0.00046955505734990876,0.5546597185396197
`learners/non-learners`:decile,3.4857096656336783,317.19957957266473,125.55853858845572,2.11230346887814,0.0013590821918376985,0.08854153658605694
bin,5.0,455.0,0.0014657862339716853,0.965476499653414,1.0416574776927102e-08,0.4385248177139748
`learners/non-learners`:bin,5.0,455.0,0.0014657862339716853,0.017197588873124194,1.855456578972574e-10,0.9998872679198493
decile:bin,45.0,4095.0,0.0007444321406734778,4.7642109723098525,2.349476482800023e-07,3.679876573692413e-23
`learners/non-learners`:decile:bin,45.0,4095.0,0.0007444321406734778,0.7509838261106262,3.703486679885146e-08,0.8887265309183259
