Effect,num Df,den Df,MSE,F,ges,P
`learners/non-learners`,1.0,91.0,7035.312757597311,0.023548147284048034,0.00024347358170788216,0.8783799985213557
decile,3.4774473567719753,316.44770946624976,126.5767852134791,0.8163799814530194,0.000527952765433461,0.5009234437984309
`learners/non-learners`:decile,3.4774473567719753,316.44770946624976,126.5767852134791,2.0582858058666114,0.0013300248091990398,0.09581626602801034
bin,5.0,455.0,0.0008454742725212456,110.2596264264403,6.851790326174954e-07,4.008865557451803e-76
`learners/non-learners`:bin,5.0,455.0,0.0008454742725212456,0.0621044193610097,3.8593160976484224e-10,0.9974224123173829
decile:bin,45.0,4095.0,0.0007711362998773249,3.406543705989726,1.7377007765967759e-07,2.0321540871115582e-13
`learners/non-learners`:decile:bin,45.0,4095.0,0.0007711362998773249,0.6206992969999403,3.166229165970771e-08,0.9780731655388337
